group,crop,organelle,ratio
group1,01,mito-mem,0.8258269298278401
group1,01,mito-lumen,0.9564794343607488
group1,01,mito,0.9872148673833727
group1,02,mito-mem,0.8635955636410689
group1,02,mito-lumen,0.9275359355051489
group1,02,mito,0.9964743528207982
group1,03,mito-mem,0.4917029138592799
group1,03,mito-lumen,0.8789617983808553
group1,03,mito,0.9734006108264498
group1,04,mito-mem,0.8846937851186705
group1,04,mito-lumen,0.9197824235318501
group1,04,mito,0.9950527560493275
group1,05,mito-mem,0.9222227357323398
group1,05,mito-lumen,0.9664412411618334
group1,05,mito,1.0025360786160158
group1,08,mito-mem,0.9963298523196233
group1,08,mito-lumen,0.9860160188165347
group1,08,mito,0.9989158950991172
group1,09,mito-mem,1.0083882144235774
group1,09,mito-lumen,0.8937022265017863
group1,09,mito-ribo,0.0
group1,09,mito,0.9695536480675615
group1,10,mito-mem,1.020303168709403
group1,10,mito-lumen,0.9903198998637446
group1,10,mito,1.0002055174237412
group2,01,er-mem,0.25369771214009945
group2,01,er-lum,0.46284822431266326
group2,01,eres-mem,0.0
group2,01,eres-lum,0.855649043789829
group2,01,er,0.8464426554232504
group2,01,eres,0.8394597272586511
group2,02,er-mem,0.23509028072634644
group2,02,er-lum,0.8225482280202008
group2,02,er,0.9211235482125031
group2,03,er-mem,0.19104385646481659
group2,03,er-lum,0.7277629492264694
group2,03,eres-mem,0.0
group2,03,eres-lum,1.3020685100942542
group2,03,er,0.892695056442317
group2,03,eres,0.8532896010733675
group2,05,golgi-mem,1.138048505046163
group2,05,golgi-lum,1.0093618135154085
group2,05,golgi,1.0082234764024465
group3,01,pm,0.9822256015192158
group3,02,pm,0.8813731248689869
group3,04,pm,0.9090209026500645
group3,04,vesicle-mem,0.0
group3,04,vesicle-lum,0.0
group3,04,vesicle,0.0
group3,05,pm,1.0222928107099503
group3,05,vesicle-mem,0.0
group3,05,vesicle-lum,0.0
group3,05,vesicle,0.0
group3,07,endo-mem,0.20735481677695825
group3,07,endo-lum,0.42674124389041473
group3,07,vesicle-mem,0.07301866780853893
group3,07,vesicle-lum,0.373388309894924
group3,07,vesicle,0.19964299986964804
group3,07,endo,0.44586697664213426
group3,08,pm,0.9456213865175239
group3,08,endo-mem,0.7984712888755091
group3,08,endo-lum,0.7319706355103284
group3,08,vesicle-mem,0.1080925056629778
