group,crop,organelle,ratio
group1,01,mito-mem,1.366553101470885
group1,01,mito-lumen,1.6037613874334
group1,01,mito,1.9652352102464878
group1,02,mito-mem,1.280770034574559
group1,02,mito-lumen,2.049926276302173
group1,02,mito,1.051457152738149
group1,03,mito-mem,2.030788953744676
group1,03,mito-lumen,2.0507517895161187
group1,03,mito,2.9652049492312984
group1,04,mito-mem,1.56355739853657
group1,04,mito-lumen,2.7181614832458347
group1,04,mito,2.341601382654084
group1,05,mito-mem,1.1290676580493861
group1,05,mito-lumen,1.599962168235586
group1,05,mito,1.2705430178156334
group1,08,mito-mem,1.053837743846056
group1,08,mito-lumen,1.148049409154837
group1,08,mito,0.741867717547029
group1,09,mito-mem,0.9775511180013674
group1,09,mito-lumen,3.2829583089063576
group1,09,mito-ribo,
group1,09,mito,2.9318306328850836
group1,10,mito-mem,1.0211916467045734
group1,10,mito-lumen,1.126766924093383
group1,10,mito,0.8508020463750664
group2,01,er-mem,5.30373569421536
group2,01,er-lum,4.109562950420215
group2,01,eres-mem,
group2,01,eres-lum,1.5865706460804634
group2,01,er,2.385693350438163
group2,01,eres,1.6154976949107318
group2,02,er-mem,4.0252081414819125
group2,02,er-lum,1.7430212441068862
group2,02,er,1.6289196096436476
group2,03,er-mem,1.8256811139293916
group2,03,er-lum,0.8480393983503443
group2,03,eres-mem,
group2,03,eres-lum,0.7098707546202283
group2,03,er,1.7772146373253896
group2,03,eres,1.0363069368495241
group2,05,golgi-mem,0.8237182435786603
group2,05,golgi-lum,0.9406655432436855
group2,05,golgi,0.8683034264576094
group3,01,pm,1.0214839929352584
group3,02,pm,1.51318677675677
group3,04,pm,1.0429186899157625
group3,04,vesicle-mem,
group3,04,vesicle-lum,
group3,04,vesicle,
group3,05,pm,0.7861387306292952
group3,05,vesicle-mem,
group3,05,vesicle-lum,
group3,05,vesicle,
group3,07,endo-mem,8.483525522989936
group3,07,endo-lum,5.114061811292908
group3,07,vesicle-mem,4.706963924326836
group3,07,vesicle-lum,2.284774633443175
group3,07,vesicle,2.8001491522347335
