,organelle,ratio mean,ratio std
9,golgi-mem,0.9587776358820317,0.19100282432129653
7,golgi,1.1177876841618086,0.35282402084386305
8,golgi-lum,1.29186374683715,0.4966692626029449
6,eres,1.3322882572612829,0.28980652908078136
15,mito-mem,1.4894221550351698,1.2979912083571306
20,ne-lum,1.9064197617149674,0.7329628822188274
21,ne-mem,1.9743444365439018,0.5075683620086232
30,vesicle-lum,2.0039688234981354,1.8191715236265875
19,ne,2.1282973703489794,0.3926816717286434
29,vesicle,2.173284472895557,1.4213726998094864
11,lyso-lum,2.24052020059635,
27,nucleus,2.490790535834989,1.0386696381364648
13,mito,2.897337382648178,5.465711379383034
14,mito-lumen,3.3565207470430667,4.682512865745463
4,er-lum,3.8508397747823073,3.3593015746971693
3,er,3.9146986767976726,3.782205966039441
23,np,4.3009135408135535,4.875730633409775
24,np-in,4.560455518153081,4.5584157280106306
5,er-mem,4.8905000378990735,4.194856125417234
2,endo-mem,6.080491567355924,6.761697614329307
26,nucleolus,6.158171785815339,1.3481334848148374
10,lyso,6.321075296662982,5.506035228932678
12,lyso-mem,6.338201783637804,5.999336057723491
31,vesicle-mem,7.733652194400018,13.53034401644487
28,pm,8.109565285875311,18.150750774518468
17,mt-in,8.170986506554245,5.0330716644786655
0,endo,8.191202244556328,9.379635934187908
16,mt,8.32097602931365,5.221585500436163
1,endo-lum,9.236160448057554,12.321575971947693
18,mt-out,11.725606195315022,7.565900532660035
25,np-out,11.795933252116704,7.913749433082524
22,nhchrom,13.676365672142317,11.515601876313106
